T,gyro_1f_roll[deg]
143.995741,239.6
144.095736,244.1
144.19572,248.7
144.295745,253.3
144.395753,258.0
144.495744,262.8
144.59573,267.7
144.695748,272.6
144.795761,277.6
144.895785,282.6
144.995736,287.7
145.095745,292.8
145.195777,297.9
145.395735,308.2
145.495739,313.3
145.595713,318.4
145.69573,323.5
145.795731,328.5
145.895771,333.5
145.995732,338.4
146.095714,343.2
146.195737,347.9
146.295723,352.6
146.395731,357.1
146.495721,1.5
146.595761,5.8
146.695739,10.1
146.796542,14.2
146.895714,18.1
146.995714,22.0
147.095824,25.7
147.195706,29.4
147.295732,32.9
149.095766,78.3
149.195724,80.0
149.296225,81.7
149.395743,83.2
149.495761,84.7
149.595735,86.2
149.695752,87.5
149.795739,88.9
149.895714,90.1
149.995714,91.4
150.095709,92.5
150.19572,93.7
150.295731,94.8
150.395713,95.9
150.495717,96.9
150.595717,97.9
150.695721,98.9
150.795748,99.9
150.896552,100.9
150.995749,101.8
151.095745,102.8
151.195777,103.7
151.295753,104.6
151.395735,105.6
151.495726,106.5
151.595699,107.5
151.695704,108.5
151.79573,109.4
151.895758,110.5
151.995745,111.5
152.095687,112.5
152.195737,113.6
152.295683,114.7
152.395717,115.8
152.495734,117.0
152.595695,118.1
152.695739,119.3
152.796542,120.5
152.89574,121.7
152.995714,123.0
153.095758,124.3
153.195719,125.6
153.295718,127.0
153.395752,128.3
153.495677,129.8
153.595704,131.2
153.695695,132.7
153.795695,134.3
153.895683,135.9
153.995683,137.5
154.095704,139.2
154.195702,141.0
154.295687,142.8
154.395681,144.6
154.495699,146.5
154.595673,148.4
154.696546,150.4
154.795703,152.5
154.895692,154.5
154.995727,156.6
155.095713,158.8
155.195684,160.9
155.295683,163.1
155.395664,165.3
155.495681,167.5
155.595708,169.7
155.695686,171.8
155.795686,174.0
155.895714,176.1
155.995674,178.1
156.095696,180.1
156.19568,182.1
156.295718,183.9
156.395699,185.7
156.596507,189.0
156.695708,190.4
156.795682,191.8
156.895745,193.0
156.995709,194.2
157.095705,195.1
157.19619,196.0
157.29574,196.7
157.395708,197.3
157.495712,197.7
157.595725,198.1
157.695703,198.3
157.795704,198.3
157.895731,198.3
157.995718,198.1
158.095674,197.8
158.195684,197.3
158.295683,196.8
158.395664,196.1
158.495694,195.4
158.595734,194.5
158.695725,193.5
158.795721,192.4
158.8957,191.2
158.995687,189.9
159.096198,188.6
159.195706,187.1
159.295691,185.5
159.395686,183.9
159.495637,182.2
159.595677,180.4
159.695695,178.6
159.795681,176.6
159.895696,174.6
159.995696,172.6
160.095678,170.4
160.195648,168.2
160.295648,166.0
160.39567,163.7
160.495661,161.3
160.595688,158.9
160.695714,156.5
160.795666,154.0
160.895654,151.5
160.996169,148.9
161.095662,146.3
161.195686,143.7
161.295685,141.0
161.395666,138.3
161.49571,135.6
161.59567,132.8
161.695687,130.1
161.795648,127.3
161.895676,124.4
161.995702,121.6
162.095697,118.8
162.195655,115.9
162.295693,113.0
162.395701,110.1
162.495719,107.2
162.595728,104.3
162.69567,101.4
162.79567,98.5
162.895733,95.6
162.995671,92.7
163.095693,89.9
163.19573,87.0
163.295702,84.1
163.395683,81.3
163.495675,78.5
163.595687,75.7
163.695692,72.9
