T,gyro_1f_ax
152.39001,-6
152.490014,-7
152.590001,-7
152.690032,-6
152.793528,-7
152.890006,-9
152.990007,-9
153.090002,-7
153.189999,-9
153.290011,-9
153.390019,-8
153.490009,-7
153.59001,-9
153.690001,-8
153.789987,-8
153.889989,-7
153.989976,-7
154.089984,-7
154.190007,-6
154.289993,-6
154.389974,-7
154.490005,-6
154.589979,-6
154.693519,-5
154.790009,-5
154.889998,-5
154.989985,-5
155.090019,-5
155.190003,-5
155.289989,-5
155.389983,-3
155.490001,-3
155.590014,-2
155.689992,-3
155.789979,-2
155.889993,-1
155.990006,-1
156.090002,0
156.189986,0
156.289971,0
156.389992,0
156.593493,1
156.689987,1
156.789974,2
156.889989,1
156.989989,3
157.089984,5
157.189968,5
157.289993,5
157.389974,6
157.489992,6
157.589978,6
157.68997,6
157.789983,7
157.889984,7
157.989998,8
158.089967,7
158.189963,7
158.289975,7
158.38997,8
158.489987,9
158.589987,8
158.690018,9
158.789966,9
158.88998,9
158.98998,10
159.089989,10
159.189985,10
159.289984,10
159.389992,9
159.489956,11
159.589957,10
159.689974,11
159.789974,11
159.889989,12
159.989976,12
160.089957,12
160.189968,12
160.289954,12
160.389963,12
160.489954,12
160.589994,14
160.689959,14
160.789958,14
160.88996,12
160.989973,13
161.089981,12
161.189978,11
161.289964,12
161.490002,10
161.689967,9
161.789967,8
161.889982,8
161.989968,7
162.089977,6
162.189948,6
162.289973,6
162.38998,5
162.489985,5
162.589959,5
162.689949,4
162.78995,4
162.889964,4
162.989964,4
163.089986,4
163.189983,3
163.289955,4
163.389976,3
163.489967,4
163.58998,4
163.689985,4
163.789985,5
163.889959,4
163.989973,5
164.089968,5
164.189965,6
164.289964,6
164.389972,7
164.493499,7
164.589989,7
164.689993,7
164.789954,7
164.889955,6
164.989982,7
165.089964,7
165.18996,7
165.289973,7
165.389967,7
165.489958,6
165.589971,7
165.68995,6
165.789951,6
165.889953,6
165.98994,6
166.089935,6
166.189971,6
166.289957,6
166.389938,6
166.489942,6
166.589929,6
166.689947,7
166.789947,7
166.889962,7
166.989962,7
167.08997,7
167.18994,7
167.289953,6
167.389934,6
167.489938,7
167.589952,7
167.789942,7
167.889957,6
167.98993,6
168.089926,6
168.189936,6
168.289935,6
168.389942,5
168.489947,5
168.589934,5
168.689964,5
168.789965,5
168.889966,5
168.989939,5
169.089935,5
169.189945,5
169.28993,6
169.389938,5
169.489943,6
169.589942,5
169.689933,6
169.78996,6
169.889948,6
169.989948,6
170.08993,6
170.18994,6
170.289939,5
170.389934,5
170.493461,5
170.589938,5
170.689929,4
170.789956,4
170.889944,4
170.989931,4
171.089966,3
171.189949,3
171.289961,3
171.389947,4
171.489981,3
171.589919,4
171.689924,4
171.78991,4
171.889925,5
171.989942,5
172.089915,5
172.189938,5
172.289937,5
172.393442,5
172.489909,5
172.589923,5
172.689967,5
172.789914,5
172.889942,5
172.989929,5
173.089924,5
173.189934,5
173.289937,5
173.389961,5
173.489943,5
173.589935,5
173.689925,6
173.789939,6
173.889927,6
173.989927,6
174.089926,6
174.189936,6
174.293462,6
174.38992,7
174.489912,6
174.589912,6
174.689889,6
174.789916,6
174.889918,5
174.989917,4
