T,gyro_5f_wz[dps]
100.880866,-3.0
101.180576,-1.2
101.280839,-1.3
101.380715,-2.2
101.480668,-3.3
101.580719,-2.9
101.680677,-1.9
101.780884,-1.8
101.880867,-1.7
101.980573,-2.1
102.080563,-2.3
102.180575,-2.3
102.280572,-1.1
102.380875,-0.3
102.480673,-0.2
102.580596,-0.7
102.6809,-1.2
102.780599,-1.2
102.880855,-1.1
102.980669,-1.0
103.080568,-0.6
103.180585,-0.3
103.280621,-0.4
103.380703,-0.3
103.480667,-0.4
103.580713,-1.2
103.680583,-0.7
103.780678,-0.2
103.880698,0.1
103.980687,0.4
104.08056,0.5
104.18055,0.8
104.28067,1.2
104.38059,1.5
104.480873,1.9
104.580607,1.8
104.680556,1.6
104.780632,0.8
104.880612,0.3
104.980886,0.0
105.080561,0.0
105.180656,0.0
105.280636,0.2
105.380837,-0.2
105.480719,-0.4
105.580602,-0.5
106.380591,0.0
106.580688,0.0
106.680717,-0.1
106.780654,-0.4
106.880597,-1.0
106.980733,-0.6
107.080651,-0.2
107.180535,0.3
107.280541,0.8
107.380633,0.2
107.480626,0.0
107.580558,-0.4
107.680609,-1.2
107.780593,-0.8
107.880704,0.2
107.980665,0.3
108.080537,-0.2
108.180531,-0.3
108.280546,-0.1
108.380538,0.2
108.480561,0.3
108.580695,0.5
108.680658,0.6
110.980635,-1.0
111.080623,-0.2
111.180511,0.5
111.280525,1.3
111.380518,1.2
111.480624,1.0
111.580641,0.7
111.680664,0.6
111.78064,0.5
111.980572,0.0
112.080709,-0.1
112.180507,0.0
112.280649,0.1
116.380522,-1.7
119.780571,11.7
119.880736,13.3
119.980592,14.2
120.080714,15.1
120.180541,16.4
120.280717,17.6
120.380701,19.3
120.780653,27.3
120.880691,28.9
120.980627,30.5
121.280685,33.4
121.380668,33.7
121.580547,35.3
121.680548,35.6
122.080721,38.1
122.480551,35.5
122.580543,34.9
122.680536,35.1
122.780561,35.9
122.880714,37.3
122.980637,39.4
123.080573,42.4
123.180642,45.2
123.280568,48.3
123.380714,50.2
123.580538,49.6
123.680552,48.2
123.780544,46.4
